TABLO-4 2024 Yýlý Merkezi Yerleþtirme Ýle Öðrenci Alan Yükseköðretim Lisans Programlarý;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Genel Kontenjan;;;;Okul Birincisi Kontenjaný;;;;Depremzede Aday Kontenjaný;;;;34 Yaþ Üstü Kadýn Kontenjaný;;;;Þehit Yakýný-Gazi/Gazi Yakýný Kontenjaný;;;
Program Kodu;Üniversite Türü;Üniversite Adý;Fakülte/Yüksekokul Adý;Program Adý;Puan Türü;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan;Kontenjan;Yerleþen;En Küçük Puan;En Büyük Puan
200110123;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Ýnsan ve Toplum Bilimleri Fakültesi;Psikoloji (Burslu);EA;8;8;404,18347;410,81933;--;--;--;--;1;1;394,63059;394,63059;--;--;--;--;1;1;248,38972;248,38972
200190052;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Ýnsan ve Toplum Bilimleri Fakültesi;Psikoloji (Ýngilizce) (%25 Ýndirimli);EA;9;9;322,47967;336,97052;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200190051;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Ýnsan ve Toplum Bilimleri Fakültesi;Psikoloji (Ýngilizce) (Burslu);EA;8;8;411,21271;424,84012;--;--;--;--;1;1;376,70017;376,70017;--;--;--;--;1;1;313,35043;313,35043
200190050;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Ýnsan ve Toplum Bilimleri Fakültesi;Psikoloji (Ýngilizce) (Ücretli);EA;42;42;238,57021;321,47505;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200110114;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Ýnsan ve Toplum Bilimleri Fakültesi;Psikoloji (Ücretli);EA;42;42;229,85085;314,23010;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200190027;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Ýnsan ve Toplum Bilimleri Fakültesi;Sosyoloji (%50 Ýndirimli);EA;20;15;195,74961;329,84152;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200190026;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Ýnsan ve Toplum Bilimleri Fakültesi;Sosyoloji (Burslu);EA;3;3;336,71594;346,72255;--;--;--;--;1;0;--;--;--;--;--;--;--;--;--;--
200190102;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Mühendislik ve Doða Bilimleri Fakültesi;Bilgisayar Mühendisliði (Ýngilizce) (%50 Ýndirimli);SAY;51;23;291,62678;430,18753;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200190095;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Mühendislik ve Doða Bilimleri Fakültesi;Bilgisayar Mühendisliði (Ýngilizce) (Burslu);SAY;8;8;469,19659;490,85475;--;--;--;--;1;1;462,10667;462,10667;--;--;--;--;1;1;371,36017;371,36017
200190116;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Mühendislik ve Doða Bilimleri Fakültesi;Biyomedikal Mühendisliði (Ýngilizce) (%50 Ýndirimli);SAY;30;14;294,31410;364,03729;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
